UDI,Product ID,Type,air_temp,proc_temp,rpm,torque,wear,failure,TWF,HDF,PWF,OSF,RNF,mean_air_temp,std_air_temp,mean_proc_temp,std_proc_temp,mean_rpm,std_rpm,mean_torque,std_torque,rolling_mean_air_temp,rolling_std_air_temp,rolling_mean_proc_temp,rolling_std_proc_temp,rolling_mean_rpm,rolling_std_rpm,rolling_mean_torque,rolling_std_torque,torque_speed_product,temp_ratio,lag_1_torque,diff_lag_1_torque,cumulative_sum_torque
5,L47184,L,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,298.15999999999997,0.05477225575051307,308.62,0.0836660026534045,1459.6,62.970628073729735,43.6,4.223150482755735,298.15999999999997,0.05477225575051307,308.62,0.0836660026534045,1459.6,62.970628073729735,43.6,4.223150482755735,56320.0,1.0352112676056338,39.5,0.5,218.0
6,M14865,M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,298.15000000000003,0.05477225575050381,308.6166666666667,0.07527726527090181,1453.8333333333333,58.06691542235273,43.31666666666666,3.8405294773854646,298.15999999999997,0.05477225575051307,308.62,0.0836660026534045,1434.4,37.17929531338641,43.419999999999995,4.284506972803289,59707.5,1.0352230795035222,40.0,1.8999999999999986,259.9
7,L47186,L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,298.14285714285717,0.05345224838246661,308.61428571428576,0.0690065559342277,1468.7142857142858,66.02957490325653,43.18571428571429,3.5229857466967665,298.14,0.05477225575050139,308.6,0.07071067811863264,1464.4,62.46839200747842,42.64,3.9727824002832084,66059.2,1.0352230795035222,41.9,0.5,302.29999999999995
8,L47187,L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,298.1375,0.05175491695065552,308.6125,0.06408699444615774,1476.0,64.51135005341534,42.8125,3.42821798773482,298.14,0.05477225575050139,308.62,0.04472135955000755,1470.2,67.51073988633212,40.8,1.2708265027138925,61385.4,1.0352230795035222,42.4,-2.1999999999999957,342.49999999999994
9,M14868,M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,298.15555555555557,0.07264831572566778,308.6222222222222,0.06666666666665884,1497.2222222222222,87.720832442724,41.233333333333334,5.720795399243013,298.15999999999997,0.08944271909998187,308.64,0.05477225575056409,1517.0,105.62433431742892,38.62,5.697543330243311,47676.200000000004,1.0348642306402949,40.2,-11.600000000000001,371.09999999999997
10,M14869,M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,298.19,0.1286683937707858,308.65999999999997,0.1349897115421144,1521.6,113.06065235576496,39.910000000000004,6.826655273427996,298.22,0.1788854381999675,308.7,0.1732050807569382,1583.6,123.23067799862174,36.22,7.278873539222953,48748.0,1.035175879396985,28.6,-0.6000000000000014,399.09999999999997
11,H29424,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,298.20909090909095,0.13751033019045894,308.6818181818182,0.1470930441467762,1545.2727272727273,132.92410684980442,38.45454545454545,8.077420830483414,298.28000000000003,0.1788854381999675,308.76,0.18165902124592503,1655.0,111.20026978384541,32.62,8.16468003047273,42589.799999999996,1.0351876675603218,28.0,-4.100000000000001,422.99999999999994
12,H29425,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,298.2416666666667,0.17298624923456388,308.71666666666664,0.18504708655482896,1535.0833333333333,131.56157102169692,38.94166666666667,7.884214186165505,298.38,0.19235384061674488,308.86,0.20736441353340643,1628.0,150.1932089010685,33.0,8.756426211645945,63038.899999999994,1.0351640991292699,23.9,20.4,467.29999999999995
13,M14872,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,298.2692307692308,0.19315199276138334,308.74615384615385,0.20662116951637724,1520.0,137.19936831730197,39.87692307692308,8.267522184846142,298.48,0.13038404810417126,308.96,0.16733200530707992,1590.4,197.78978740066435,35.17999999999999,11.818502443203203,68422.90000000001,1.0351640991292699,44.3,6.800000000000004,518.4
14,M14873,M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,298.29285714285714,0.20555473055307996,308.7785714285714,0.232638945838581,1535.857142857143,144.5544119768679,39.17142857142857,8.370316469656201,298.54,0.08944271910019834,309.06,0.11401754251042022,1605.4,207.64946424202495,35.46,11.638857332229831,52260.0,1.0354989953114533,51.1,-21.1,548.4
